SA1_CODE21,2025_supply,2026_supply,2027_supply,2028_supply,2029_supply,2030_supply,2031_supply,2032_supply,2033_supply,2034_supply,2035_supply,2036_supply,2037_supply,2038_supply,2039_supply,2040_supply,2041_supply,2042_supply,2043_supply,2044_supply,2045_supply,2025_demand,2026_demand,2027_demand,2028_demand,2029_demand,2030_demand,2031_demand,2032_demand,2033_demand,2034_demand,2035_demand,2036_demand,2037_demand,2038_demand,2039_demand,2040_demand,2041_demand,2042_demand,2043_demand,2044_demand,2045_demand
11703164208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.978000000000002,13.203,12.944,12.866,12.73,12.652,12.606,12.594,12.541,12.335,12.153,12.025,11.94,11.895,11.868,11.864999999999998,11.852,11.851,11.841,11.827000000000002,11.803
11703164209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.795,5.833,5.654999999999999,5.569,5.455,7.443,10.128,12.907,15.997,18.661,21.383,24.033,26.504,28.791,30.811,32.686,34.393,36.015,37.527,38.983,40.353
11703164210,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,24.828,25.917,25.991999999999997,26.436,26.359,26.387,26.244999999999997,26.200000000000003,26.138,26.361,26.611,26.945,27.372,27.884,28.413000000000004,29.016,29.568,30.155,30.714,31.263,31.788
11703164211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.811,7.819,7.57,7.433999999999999,7.365,7.296,7.238,7.203,7.161999999999999,7.138,7.106,7.083,7.069,7.069000000000001,7.0600000000000005,7.064,7.052,7.045,7.029999999999999,7.013,6.991
11703164212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.408,11.909,11.945,12.148,12.114,12.127,12.062,12.041,11.976,11.775,11.595,11.459,11.37,11.318,11.276,11.264,11.233,11.216,11.19,11.162,11.127
11703164213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.327,7.39,7.191,7.102,6.981,6.932,6.83,6.773,6.704000000000001,6.65,6.588,6.536999999999999,6.492000000000001,6.462999999999999,6.432,6.412,6.382,6.357,6.327,6.297000000000001,6.26
11703164214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.196,6.203,6.005,5.897,5.843,5.787,5.7410000000000005,5.714,5.681,5.662,5.6370000000000005,5.619,5.6080000000000005,5.607,5.601,5.604,5.595000000000001,5.589,5.578,5.563,5.545999999999999
11703164215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.158,14.184,13.713,13.364,13.129,12.973,12.861,12.805,12.747,12.711,12.665,12.635000000000002,12.613,12.611,12.601,12.604,12.591,12.582,12.567,12.548,12.522
11703164216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.693,10.32,10.549,10.868,10.977,11.132,11.125,11.17,11.222,11.722,12.212,12.72,13.260000000000002,13.829999999999998,14.413,15.021999999999998,15.614,16.223,16.813,17.395,17.965
11703164217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.639,10.832,10.611,10.556,10.375,10.26,10.115,10.026,9.932,9.865,9.795,9.743,9.702,9.681,9.659,9.651,9.629,9.613,9.588,9.563,9.529
